"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogox"
"ablation_stage2_full_density_sweep"
"07/17/2026 15:34:54:936 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"1","450","0.8","0.1","false","true","false","3","200","450","2.1760954986027596","2","198","0.6706033524160461","0.042222222222222223","0.8487120346825744"
"3","450","0.8","0.1","false","true","false","3","200","450","2.137066192335537","5","216","0.656867205320139","0.04","0.8500098089296348"
"4","450","0.8","0.1","false","true","false","3","200","450","2.218743733116056","4","190","0.6824329688283256","0.035555555555555556","0.8490862175717594"
"5","450","0.8","0.1","false","true","false","3","200","450","2.21002165778104","6","201","0.6478521168228617","0.03333333333333333","0.8498806189194539"
"2","450","0.8","0.1","false","true","false","3","200","450","2.1875050572003105","4","174","0.6988942438578089","0.035555555555555556","0.8528133674013249"
"6","1050","0.8","0.1","false","true","false","3","200","1050","2.354448720285318","4","836","0.3806909661862746","0.06571428571428571","0.8492609916209639"
"8","1050","0.8","0.1","false","true","false","3","200","1050","2.2968579012607653","5","871","0.36544160778690976","0.058095238095238096","0.8478264051201742"
"10","1050","0.8","0.1","false","true","false","3","200","1050","2.4011355639508336","7","849","0.3717757993323899","0.058095238095238096","0.8500775681257036"
"9","1050","0.8","0.1","false","true","false","3","200","1050","2.3406880211234573","5","866","0.3667710812903708","0.06666666666666667","0.8507537398552727"
"7","1050","0.8","0.1","false","true","false","3","200","1050","2.395851265303569","5","854","0.36232143871981787","0.054285714285714284","0.8496530705782681"
"11","2050","0.8","0.1","false","true","false","3","200","2050","2.338149676719919","8","1976","0.22165321058213383","0.06292682926829268","0.8499232661543353"
"13","2050","0.8","0.1","false","true","false","3","200","2050","2.3630550434036626","8","1969","0.22164365836861433","0.06487804878048781","0.8501153703268478"
"12","2050","0.8","0.1","false","true","false","3","200","2050","2.381932818695223","9","1958","0.2250999298379933","0.0575609756097561","0.8505077167873926"
"14","2050","0.8","0.1","false","true","false","3","200","2050","2.358347819475651","9","1978","0.2146039437170165","0.05951219512195122","0.8508277723520612"
"15","2050","0.8","0.1","false","true","false","3","200","2050","2.341682081380148","5","1970","0.2222185229848032","0.06146341463414634","0.8501495580628319"
"16","3050","0.8","0.1","false","true","false","3","200","3050","2.3024679845011096","8","3007","0.16261576242546244","0.061967213114754095","0.8497258756874579"
"17","3050","0.8","0.1","false","true","false","3","200","3050","2.2694594518626032","7","2992","0.15858355242456734","0.06032786885245902","0.8497645622448311"
"20","3050","0.8","0.1","false","true","false","3","200","3050","2.2716162389733316","8","2995","0.16067415214990263","0.05967213114754098","0.8502662960896348"
"19","3050","0.8","0.1","false","true","false","3","200","3050","2.2752055104688584","7","2996","0.15878974453817465","0.06360655737704918","0.8497027089173386"
"18","3050","0.8","0.1","false","true","false","3","200","3050","2.2807426678785716","8","3003","0.16190094473857555","0.05934426229508197","0.8504740185047074"
"21","4050","0.8","0.1","false","true","false","3","200","4050","2.1841509480575767","5","4006","0.13104135549607568","0.04938271604938271","0.8495876584612246"
"22","4050","0.8","0.1","false","true","false","3","200","4050","2.214552317715704","9","4003","0.13160463590490976","0.05851851851851852","0.8503554329201658"
"23","4050","0.8","0.1","false","true","false","3","200","4050","2.2961258876079507","6","4008","0.13213369840317654","0.05975308641975308","0.8498414367330245"
"25","4050","0.8","0.1","false","true","false","3","200","4050","2.198281842602609","6","4003","0.12865756832290176","0.058271604938271604","0.8500703057028732"
"24","4050","0.8","0.1","false","true","false","3","200","4050","2.2709458928270982","6","4016","0.13352264462112262","0.05975308641975308","0.8496631341685513"
"26","4950","0.8","0.1","false","true","false","3","200","4950","2.214970407052654","7","4911","0.113366435536754","0.057777777777777775","0.8496900433806249"
"27","4950","0.8","0.1","false","true","false","3","200","4950","2.1939719412168266","7","4917","0.11629031180616588","0.05090909090909091","0.8504970035686459"
"28","4950","0.8","0.1","false","true","false","3","200","4950","2.199356304385098","10","4914","0.11158847469142784","0.055757575757575756","0.8501387314755284"
"29","4950","0.8","0.1","false","true","false","3","200","4950","2.193658318499169","4","4924","0.11311597403581564","0.05858585858585859","0.8496510367978707"
"30","4950","0.8","0.1","false","true","false","3","200","4950","2.230579334888007","4","4918","0.11520606928422841","0.057373737373737375","0.8501756906854397"
